organization,imei,plate_number,Vehicle Model Year,Vehicle Make,Vehicle Model Name
Cars Taxi,1953,1953,,,
Cars Taxi,21834,21834,,,
Cars Taxi,21846,21846,,,
Cars Taxi,21860,21860,,,
Cars Taxi,21861,21861,,,
Cars Taxi,21874,21874,,,
Cars Taxi,1824,1824,,,
Cars Taxi,1833,1833,,,
Cars Taxi,1834,1834,,,
Cars Taxi,1842,1842,,,
Cars Taxi,1843,1843,,,
Cars Taxi,1845,1845,,,
Cars Taxi,1855,1855,,,
Cars Taxi,1858,1858,,,
Cars Taxi,1859,1859,,,
Cars Taxi,1861,1861,,,
Cars Taxi,1867,1867,,,
Cars Taxi,1868,1868,,,
Cars Taxi,1869,1869,,,
Cars Taxi,1872,1872,,,
Cars Taxi,1875,1875,,,
Cars Taxi,1881,1881,,,
Cars Taxi,25108,25108,,,
Cars Taxi,17391,17391,,,
Cars Taxi,7120,7120,,,
Cars Taxi,1720,1720,,,
Cars Taxi,21664,21664,,,
Cars Taxi,4075,4075,,,
Cars Taxi,2571,2571,,,
Cars Taxi,5585,5585,,,
Cars Taxi,7469,7469,,,
Cars Taxi,1071,1071,,,
Cars Taxi,17056,17056,,,
Cars Taxi,3063,3063,,,
Cars Taxi,4084,4084,,,
Cars Taxi,3178,3178,,,
Cars Taxi,3181,3181,,,
Cars Taxi,3182,3182,,,
Cars Taxi,3183,3183,,,
Cars Taxi,3186,3186,,,
Cars Taxi,3188,3188,,,
Cars Taxi,3189,3189,,,
Cars Taxi,3190,3190,,,
Cars Taxi,3191,3191,,,
Cars Taxi,3192,3192,,,
Cars Taxi,3193,3193,,,
Cars Taxi,3194,3194,,,
Cars Taxi,3196,3196,,,
Cars Taxi,3197,3197,,,
Cars Taxi,3199,3199,,,
Cars Taxi,3200,3200,,,
Cars Taxi,3201,3201,,,
Cars Taxi,3202,3202,,,
Cars Taxi,3204,3204,,,
Cars Taxi,3205,3205,,,
Cars Taxi,3206,3206,,,
Cars Taxi,3207,3207,,,
Cars Taxi,3208,3208,,,
Cars Taxi,3211,3211,,,
Cars Taxi,3212,3212,,,
Cars Taxi,3216,3216,,,
Cars Taxi,3217,3217,,,
Cars Taxi,3218,3218,,,
Cars Taxi,3219,3219,,,
Cars Taxi,3221,3221,,,
Cars Taxi,3223,3223,,,
Cars Taxi,3224,3224,,,
Cars Taxi,3225,3225,,,
Cars Taxi,3226,3226,,,
Cars Taxi,3227,3227,,,
Cars Taxi,3229,3229,,,
Cars Taxi,3230,3230,,,
Cars Taxi,3231,3231,,,
Cars Taxi,3232,3232,,,
Cars Taxi,3233,3233,,,
Cars Taxi,3234,3234,,,
Cars Taxi,3235,3235,,,
Cars Taxi,3236,3236,,,
Cars Taxi,3237,3237,,,
Cars Taxi,3238,3238,,,
Cars Taxi,3240,3240,,,
Cars Taxi,3241,3241,,,
Cars Taxi,3242,3242,,,
Cars Taxi,3245,3245,,,
Cars Taxi,3246,3246,,,
Cars Taxi,3247,3247,,,
Cars Taxi,3248,3248,,,
Cars Taxi,3249,3249,,,
Cars Taxi,3250,3250,,,
Cars Taxi,3251,3251,,,
Cars Taxi,3252,3252,,,
Cars Taxi,3253,3253,,,
Cars Taxi,3255,3255,,,
Cars Taxi,3256,3256,,,
Cars Taxi,3257,3257,,,
Cars Taxi,3258,3258,,,
Cars Taxi,3259,3259,,,
Cars Taxi,3260,3260,,,
Cars Taxi,3261,3261,,,
Cars Taxi,3262,3262,,,
Cars Taxi,3264,3264,,,
Cars Taxi,3265,3265,,,
Cars Taxi,3266,3266,,,
Cars Taxi,3267,3267,,,
Cars Taxi,3269,3269,,,
Cars Taxi,3270,3270,,,
Cars Taxi,3271,3271,,,
Cars Taxi,3272,3272,,,
Cars Taxi,3273,3273,,,
Cars Taxi,3274,3274,,,
Cars Taxi,3275,3275,,,
Cars Taxi,7152,7152,,,
Cars Taxi,78028,78028,,,
Cars Taxi,1949,1949,,,
Cars Taxi,1956,1956,,,
Cars Taxi,3209,3209,,,
Cars Taxi,1811,1811,,,
Cars Taxi,3157,3157,,,
Cars Taxi,1911,1911,,,
Cars Taxi,3029,3029,,,
Cars Taxi,25085,25085,,,
Cars Taxi,25311,25311,,,
Cars Taxi,5904,5904,,,
Cars Taxi,2902,2902,,,
Cars Taxi,78083,78083,,,
Cars Taxi,78157,78157,,,
Cars Taxi,78142,78142,,,
Cars Taxi,1580,1580,,,
Cars Taxi,5936,5936,,,
Cars Taxi,1173,1173,,,
Cars Taxi,21783,21783,,,
Cars Taxi,25157,25157,,,
Cars Taxi,1735,1735,,,
Cars Taxi,2890,2890,,,
Cars Taxi,48440,48440,,,
Cars Taxi,17164,17164,,,
Cars Taxi,78124,78124,,,
Cars Taxi,21782,21782,,,
Cars Taxi,17213,17213,,,
Cars Taxi,7303,7303,,,
Cars Taxi,4012,4012,,,
Cars Taxi,1252,1252,,,
Cars Taxi,7293,7293,,,
Cars Taxi,25201,25201,,,
Cars Taxi,7477,7477,,,
Cars Taxi,78007,78007,,,
Cars Taxi,17279,17279,,,
Cars Taxi,80337,80337,,,
Cars Taxi,1764,1764,,,
Cars Taxi,48055,48055,,,
Cars Taxi,1109,1109,,,
Cars Taxi,1117,1117,,,
Cars Taxi,1257,1257,,,
Cars Taxi,1261,1261,,,
Cars Taxi,1299,1299,,,
Cars Taxi,1306,1306,,,
Cars Taxi,1206,1206,,,
Cars Taxi,7277,7277,,,
Cars Taxi,1806,1806,,,
Cars Taxi,1281,1281,,,
Cars Taxi,1266,1266,,,
Cars Taxi,1354,1354,,,
Cars Taxi,2560,2560,,,
Cars Taxi,1327,1327,,,
Cars Taxi,2525,2525,,,
Cars Taxi,2640,2640,,,
Cars Taxi,1370,1370,,,
Cars Taxi,2679,2679,,,
Cars Taxi,1489,1489,,,
Cars Taxi,2541,2541,,,
Cars Taxi,80105,80105,,,
Cars Taxi,1410,1410,,,
Cars Taxi,5615,5615,,,
Cars Taxi,1265,1265,,,
Cars Taxi,1323,1323,,,
Cars Taxi,2630,2630,,,
Cars Taxi,1476,1476,,,
Cars Taxi,2537,2537,,,
Cars Taxi,1828,1828,,,
Cars Taxi,1964,1964,,,
Cars Taxi,21662,21662,,,
Cars Taxi,3228,3228,,,
Cars Taxi,66042,66042,,,
Cars Taxi,3050,3050,,,
Cars Taxi,17138,17138,,,
Cars Taxi,2703,2703,,,
Cars Taxi,1357,1357,,,
Cars Taxi,78020,78020,,,
Cars Taxi,3059,3059,,,
Cars Taxi,3263,3263,,,
Cars Taxi,2700,2700,,,
Cars Taxi,1330,1330,,,
Cars Taxi,1432,1432,,,
Cars Taxi,1360,1360,,,
Cars Taxi,1990,1990,,,
Cars Taxi,2702,2702,,,
Cars Taxi,76251,76251,,,
Cars Taxi,21650,21650,,,
Cars Taxi,1385,1385,,,
Cars Taxi,25492,25492,,,
Cars Taxi,2623,2623,,,
Cars Taxi,76499,76499,,,
Cars Taxi,1175,1175,,,
Cars Taxi,21554,21554,,,
Cars Taxi,2914,2914,,,
Cars Taxi,76341,76341,,,
Cars Taxi,25256,25256,,,
Cars Taxi,21946,21946,,,
Cars Taxi,80466,80466,,,
Cars Taxi,7016,7016,,,
Cars Taxi,21640,21640,,,
Cars Taxi,3220,3220,,,
Cars Taxi,3184,3184,,,
Cars Taxi,66054,66054,,,
Cars Taxi,2824,2824,,,
Cars Taxi,78399,78399,,,
Cars Taxi,25092,25092,,,
Cars Taxi,25076,25076,,,
Cars Taxi,7017,7017,,,
Cars Taxi,3187,3187,,,
Cars Taxi,21576,21576,,,
Cars Taxi,80323,80323,,,
Cars Taxi,78044,78044,,,
Cars Taxi,76112,76112,,,
Cars Taxi,25053,25053,,,
Cars Taxi,78279,78279,,,
Cars Taxi,66156,66156,,,
Cars Taxi,21521,21521,,,
Cars Taxi,5969,5969,,,
Cars Taxi,48824,48824,,,
Cars Taxi,78229,78229,,,
Cars Taxi,80167,80167,,,
Cars Taxi,76495,76495,,,
Cars Taxi,2514,2514,,,
Cars Taxi,1916,1916,,,
Cars Taxi,1919,1919,,,
Cars Taxi,1914,1914,,,
Cars Taxi,3143,3143,,,
Cars Taxi,1918,1918,,,
Cars Taxi,1917,1917,,,
Cars Taxi,1905,1905,,,
Cars Taxi,4147,4147,,,
Cars Taxi,25273,25273,,,
Cars Taxi,17360,17360,,,
Cars Taxi,1915,1915,,,
Cars Taxi,1906,1906,,,
Cars Taxi,1921,1921,,,
Cars Taxi,1374,1374,,,
Cars Taxi,1912,1912,,,
Cars Taxi,21976,21976,,,
Cars Taxi,1904,1904,,,
Cars Taxi,1913,1913,,,
Cars Taxi,4487,4487,,,
Cars Taxi,66405,66405,,,
Cars Taxi,3277,3277,,,
Cars Taxi,1925,1925,,,
Cars Taxi,1931,1931,,,
Cars Taxi,1926,1926,,,
Cars Taxi,80418,80418,,,
Cars Taxi,17019,17019,,,
Cars Taxi,2796,2796,,,
Cars Taxi,1929,1929,,,
Cars Taxi,78295,78295,,,
Cars Taxi,48439,48439,,,
Cars Taxi,1922,1922,,,
Cars Taxi,1927,1927,,,
Cars Taxi,1928,1928,,,
Cars Taxi,1930,1930,,,
Cars Taxi,25058,25058,,,
Cars Taxi,25348,25348,,,
Cars Taxi,1923,1923,,,
Cars Taxi,4461,4461,,,
Cars Taxi,5827,5827,,,
Cars Taxi,1924,1924,,,
Cars Taxi,1940,1940,,,
Cars Taxi,1933,1933,,,
Cars Taxi,48774,48774,,,
Cars Taxi,48292,48292,,,
Cars Taxi,78332,78332,,,
Cars Taxi,1271,1271,,,
Cars Taxi,1934,1934,,,
Cars Taxi,1939,1939,,,
Cars Taxi,4032,4032,,,
Cars Taxi,21674,21674,,,
Cars Taxi,80023,80023,,,
Cars Taxi,66365,66365,,,
Cars Taxi,1512,1512,,,
Cars Taxi,1866,1866,,,
Cars Taxi,1936,1936,,,
Cars Taxi,1938,1938,,,
Cars Taxi,78378,78378,,,
Cars Taxi,1937,1937,,,
Cars Taxi,1935,1935,,,
Cars Taxi,1114,1114,,,
Cars Taxi,4334,4334,,,
Cars Taxi,7107,7107,,,
Cars Taxi,78398,78398,,,
Cars Taxi,1941,1941,,,
Cars Taxi,5727,5727,,,
Cars Taxi,1965,1965,,,
Cars Taxi,1966,1966,,,
Cars Taxi,3180,3180,,,
Cars Taxi,1942,1942,,,
Cars Taxi,1945,1945,,,
Cars Taxi,1948,1948,,,
Cars Taxi,1951,1951,,,
Cars Taxi,1946,1946,,,
Cars Taxi,1968,1968,,,
Cars Taxi,1972,1972,,,
Cars Taxi,7109,7109,,,
Cars Taxi,2825,2825,,,
Cars Taxi,7105,7105,,,
Cars Taxi,1564,1564,,,
Cars Taxi,4360,4360,,,
Cars Taxi,1947,1947,,,
Cars Taxi,4290,4290,,,
Cars Taxi,4003,4003,,,
