organization,imei,plate_number,Vehicle Model Year,Vehicle Make,Vehicle Model Name
City Taxi,5869,5869,,, 
City Taxi,5946,5946,,,
City Taxi,5897,5897,,,
City Taxi,5892,5892,,,
City Taxi,5924,5924,,,
City Taxi,5902,5902,,,
City Taxi,5933,5933,,,
City Taxi,5890,5890,,,
City Taxi,5860,5860,,,
City Taxi,5888,5888,,,
City Taxi,5851,5851,,,
City Taxi,5866,5866,,,
City Taxi,5858,5858,,,
City Taxi,5901,5901,,,
City Taxi,5844,5844,,,
City Taxi,5909,5909,,,
City Taxi,5912,5912,,,
City Taxi,5918,5918,,,
City Taxi,5922,5922,,,
City Taxi,5932,5932,,,
City Taxi,5940,5940,,,
City Taxi,5856,5856,,,
City Taxi,5953,5953,,,
City Taxi,5862,5862,,,
City Taxi,5879,5879,,,
City Taxi,5861,5861,,,
City Taxi,5950,5950,,,
City Taxi,5849,5849,,,
City Taxi,5848,5848,,,
City Taxi,5926,5926,,,
City Taxi,5847,5847,,,
City Taxi,5846,5846,,,
City Taxi,5843,5843,,,
City Taxi,5865,5865,,,
City Taxi,5855,5855,,,
