organization,imei,plate_number,vehicle_model,vehicle_make,Vehicle Model Name
Dubai Taxi,25144,25144,2012,Toyota,CAMRY
Dubai Taxi,1417,1417,2012,Toyota,CAMRY
Dubai Taxi,78339,78339,2013,Nissan,ALTIMA
Dubai Taxi,76177,76177,2013,Nissan,ALTIMA
Dubai Taxi,1337,1337,2013,Nissan,ALTIMA
Dubai Taxi,48935,48935,2013,Nissan,ALTIMA
Dubai Taxi,17238,17238,2013,Nissan,ALTIMA
Dubai Taxi,80345,80345,2013,Nissan,ALTIMA
Dubai Taxi,7455,7455,2013,Nissan,ALTIMA
Dubai Taxi,17416,17416,2013,Nissan,ALTIMA
Dubai Taxi,48836,48836,2013,Toyota,CAMRY
Dubai Taxi,3333,3333,2013,Toyota,CAMRY
Dubai Taxi,48131,48131,2013,Toyota,CAMRY
Dubai Taxi,78174,78174,2013,Toyota,CAMRY
Dubai Taxi,48874,48874,2013,Toyota,CAMRY
Dubai Taxi,25477,25477,2013,Toyota,CAMRY
Dubai Taxi,7052,7052,2013,Toyota,CAMRY
Dubai Taxi,17305,17305,2013,Toyota,CAMRY
Dubai Taxi,80174,80174,2013,Toyota,CAMRY
Dubai Taxi,1161,1161,2013,Toyota,CAMRY
Dubai Taxi,80359,80359,2013,Toyota,CAMRY
Dubai Taxi,25438,25438,2013,Toyota,CAMRY
Dubai Taxi,48757,48757,2013,Toyota,CAMRY
Dubai Taxi,66496,66496,2013,Toyota,CAMRY
Dubai Taxi,76458,76458,2013,Toyota,CAMRY
Dubai Taxi,48862,48862,2013,Toyota,CAMRY
Dubai Taxi,48964,48964,2013,Toyota,CAMRY
Dubai Taxi,7275,7275,2013,Toyota,CAMRY
Dubai Taxi,48019,48019,2013,Toyota,CAMRY
Dubai Taxi,21983,21983,2013,Toyota,CAMRY
Dubai Taxi,48967,48967,2013,Toyota,CAMRY
Dubai Taxi,76007,76007,2013,Toyota,CAMRY
Dubai Taxi,4392,4392,2013,Toyota,CAMRY
Dubai Taxi,7114,7114,2013,Toyota,CAMRY
Dubai Taxi,76109,76109,2013,Toyota,CAMRY
Dubai Taxi,25486,25486,2013,Toyota,CAMRY
Dubai Taxi,48830,48830,2013,Toyota,CAMRY
Dubai Taxi,2897,2897,2013,Toyota,CAMRY
Dubai Taxi,80313,80313,2013,Toyota,CAMRY
Dubai Taxi,78285,78285,2013,Toyota,CAMRY
Dubai Taxi,21683,21683,2013,Toyota,CAMRY
Dubai Taxi,48522,48522,2013,Toyota,CAMRY
