organization,imei,plate_number,Vehicle Model Year,Vehicle Make,Vehicle Model Name
Hala Taxi,3550,3550,,,
Hala Taxi,3551,3551,,,
Hala Taxi,3552,3552,,,
Hala Taxi,3553,3553,,,
Hala Taxi,3554,3554,,,
Hala Taxi,3556,3556,,,
Hala Taxi,3557,3557,,,
Hala Taxi,3558,3558,,,
Hala Taxi,3559,3559,,,
Hala Taxi,3560,3560,,,
Hala Taxi,3561,3561,,,
Hala Taxi,3562,3562,,,
Hala Taxi,3563,3563,,,
Hala Taxi,3564,3564,,,
Hala Taxi,3565,3565,,,
Hala Taxi,3566,3566,,,
Hala Taxi,3567,3567,,,
Hala Taxi,3568,3568,,,
Hala Taxi,3569,3569,,,
Hala Taxi,3570,3570,,,
Hala Taxi,3571,3571,,,
Hala Taxi,3572,3572,,,
Hala Taxi,3573,3573,,,
Hala Taxi,3574,3574,,,
Hala Taxi,3575,3575,,,
Hala Taxi,3576,3576,,,
Hala Taxi,3577,3577,,,
Hala Taxi,3578,3578,,,
Hala Taxi,3579,3579,,,
Hala Taxi,3580,3580,,,
Hala Taxi,3581,3581,,,
Hala Taxi,3582,3582,,,
Hala Taxi,3583,3583,,,
Hala Taxi,3584,3584,,,
Hala Taxi,3585,3585,,,
Hala Taxi,3586,3586,,,
Hala Taxi,3587,3587,,,
Hala Taxi,3588,3588,,,
Hala Taxi,3589,3589,,,
Hala Taxi,3590,3590,,,
Hala Taxi,3591,3591,,,
Hala Taxi,3592,3592,,,
Hala Taxi,3593,3593,,,
Hala Taxi,3594,3594,,,
Hala Taxi,3595,3595,,,
Hala Taxi,3596,3596,,,
Hala Taxi,3597,3597,,,
Hala Taxi,3598,3598,,,
Hala Taxi,3599,3599,,,
Hala Taxi,3601,3601,,,
Hala Taxi,3602,3602,,,
Hala Taxi,3603,3603,,,
Hala Taxi,3604,3604,,,
Hala Taxi,3605,3605,,,
Hala Taxi,3606,3606,,,
Hala Taxi,3607,3607,,,
Hala Taxi,3608,3608,,,
Hala Taxi,3609,3609,,,
Hala Taxi,3610,3610,,,
Hala Taxi,3611,3611,,,
Hala Taxi,3612,3612,,,
Hala Taxi,3613,3613,,,
Hala Taxi,3614,3614,,,
Hala Taxi,3615,3615,,,
Hala Taxi,3616,3616,,,
Hala Taxi,3617,3617,,,
Hala Taxi,3618,3618,,,
Hala Taxi,3619,3619,,,
Hala Taxi,3620,3620,,,
Hala Taxi,3621,3621,,,
Hala Taxi,3622,3622,,,
Hala Taxi,3623,3623,,,
Hala Taxi,3624,3624,,,
Hala Taxi,3625,3625,,,
Hala Taxi,3626,3626,,,
Hala Taxi,3627,3627,,,
Hala Taxi,3628,3628,,,
Hala Taxi,3629,3629,,,
Hala Taxi,3630,3630,,,
Hala Taxi,3631,3631,,,
Hala Taxi,3632,3632,,,
Hala Taxi,3634,3634,,,
Hala Taxi,3635,3635,,,
Hala Taxi,3637,3637,,,
Hala Taxi,3638,3638,,,
Hala Taxi,3639,3639,,,
Hala Taxi,3640,3640,,,
Hala Taxi,3641,3641,,,
Hala Taxi,3642,3642,,,
Hala Taxi,3643,3643,,,
Hala Taxi,3644,3644,,,
Hala Taxi,3645,3645,,,
Hala Taxi,3646,3646,,,
Hala Taxi,3647,3647,,,
Hala Taxi,3648,3648,,,
Hala Taxi,3649,3649,,,
Hala Taxi,3650,3650,,,
Hala Taxi,3651,3651,,,
Hala Taxi,3652,3652,,,
Hala Taxi,3653,3653,,,
Hala Taxi,3654,3654,,,
Hala Taxi,3655,3655,,,
Hala Taxi,3656,3656,,,
Hala Taxi,3657,3657,,,
Hala Taxi,3658,3658,,,
Hala Taxi,3659,3659,,,
Hala Taxi,3660,3660,,,
Hala Taxi,3661,3661,,,
Hala Taxi,3662,3662,,,
Hala Taxi,3664,3664,,,
Hala Taxi,3665,3665,,,
Hala Taxi,3667,3667,,,
Hala Taxi,3668,3668,,,
Hala Taxi,3669,3669,,,
Hala Taxi,3670,3670,,,
Hala Taxi,3671,3671,,,
Hala Taxi,3672,3672,,,
Hala Taxi,3673,3673,,,
Hala Taxi,3674,3674,,,
Hala Taxi,3675,3675,,,
Hala Taxi,3676,3676,,,
Hala Taxi,3677,3677,,,
Hala Taxi,3678,3678,,,
Hala Taxi,3679,3679,,,
Hala Taxi,3680,3680,,,
Hala Taxi,3681,3681,,,
Hala Taxi,3682,3682,,,
Hala Taxi,3683,3683,,,
Hala Taxi,3684,3684,,,
Hala Taxi,3685,3685,,,
Hala Taxi,3686,3686,,,
Hala Taxi,3687,3687,,,
Hala Taxi,3688,3688,,,
Hala Taxi,3689,3689,,,
Hala Taxi,3690,3690,,,
Hala Taxi,3691,3691,,,
Hala Taxi,3692,3692,,,
Hala Taxi,3693,3693,,,
Hala Taxi,3694,3694,,,
Hala Taxi,3695,3695,,,
Hala Taxi,3696,3696,,,
Hala Taxi,3697,3697,,,
Hala Taxi,3698,3698,,,
Hala Taxi,3699,3699,,,
Hala Taxi,3701,3701,,,
Hala Taxi,3702,3702,,,
Hala Taxi,3703,3703,,,
Hala Taxi,3704,3704,,,
Hala Taxi,3705,3705,,,
Hala Taxi,3706,3706,,,
Hala Taxi,3707,3707,,,
Hala Taxi,3708,3708,,,
Hala Taxi,3709,3709,,,
Hala Taxi,3710,3710,,,
Hala Taxi,3711,3711,,,
