organization,imei,plate_number,,,
Metro,78418,78418,,,
Metro,1129,1129,,,
Metro,2707,2707,,,
Metro,49105,49105,,,
Metro,49125,49125,,,
Metro,2828,2828,,,
Metro,76195,76195,,,
Metro,2611,2611,,,
Metro,2538,2538,,,
Metro,49109,49109,,,
Metro,49110,49110,,,
Metro,48530,48530,,,
Metro,49025,49025,,,
Metro,2669,2669,,,
Metro,2551,2551,,,
Metro,2527,2527,,,
Metro,2518,2518,,,
Metro,48231,48231,,,
Metro,1477,1477,,,
Metro,1493,1493,,,
Metro,1362,1362,,,
Metro,2526,2526,,,
Metro,1364,1364,,,
Metro,1376,1376,,,
Metro,2673,2673,,,
Metro,4028,4028,,,
Metro,2989,2989,,,
Metro,2817,2817,,,
Metro,2822,2822,,,
Metro,2776,2776,,,
Metro,2785,2785,,,
Metro,2836,2836,,,
Metro,2818,2818,,,
Metro,2952,2952,,,
Metro,2802,2802,,,
Metro,2792,2792,,,
Metro,2806,2806,,,
Metro,2556,2556,,,
Metro,1178,1178,,,
Metro,2598,2598,,,
Metro,2590,2590,,,
Metro,48930,48930,,,
Metro,48373,48373,,,
Metro,2655,2655,,,
Metro,2692,2692,,,
Metro,49101,49101,,,
Metro,1118,1118,,,
Metro,2721,2721,,,
Metro,2603,2603,,,
Metro,4190,4190,,,
Metro,48432,48432,,,
Metro,4024,4024,,,
Metro,48527,48527,,,
Metro,48564,48564,,,
Metro,48316,48316,,,
Metro,48539,48539,,,
Metro,48573,48573,,,
Metro,1224,1224,,,
Metro,48355,48355,,,
Metro,48212,48212,,,
Metro,48358,48358,,,
Metro,48557,48557,,,
Metro,48497,48497,,,
Metro,48550,48550,,,
Metro,48342,48342,,,
Metro,48526,48526,,,
Metro,25116,25116,,,
Metro,48348,48348,,,
Metro,48511,48511,,,
Metro,48558,48558,,,
Metro,48236,48236,,,
Metro,48464,48464,,,
Metro,48299,48299,,,
Metro,48571,48571,,,
Metro,4448,4448,,,
Metro,48561,48561,,,
Metro,48513,48513,,,
Metro,48533,48533,,,
Metro,48139,48139,,,
Metro,48524,48524,,,
Metro,48876,48876,,,
Metro,48936,48936,,,
Metro,48630,48630,,,
Metro,48927,48927,,,
Metro,48750,48750,,,
Metro,48868,48868,,,
Metro,48986,48986,,,
Metro,48998,48998,,,
Metro,48957,48957,,,
Metro,48714,48714,,,
Metro,48580,48580,,,
Metro,48683,48683,,,
Metro,48585,48585,,,
Metro,48948,48948,,,
Metro,48877,48877,,,
Metro,48689,48689,,,
Metro,48979,48979,,,
Metro,48873,48873,,,
Metro,48994,48994,,,
Metro,48875,48875,,,
Metro,48970,48970,,,
Metro,48953,48953,,,
Metro,48870,48870,,,
Metro,48708,48708,,,
Metro,48999,48999,,,
Metro,48893,48893,,,
Metro,48430,48430,,,
Metro,48886,48886,,,
Metro,48989,48989,,,
Metro,48581,48581,,,
Metro,49064,49064,,,
Metro,49056,49056,,,
Metro,49038,49038,,,
Metro,49024,49024,,,
Metro,49061,49061,,,
Metro,49034,49034,,,
Metro,49022,49022,,,
Metro,48435,48435,,,
Metro,49012,49012,,,
Metro,49065,49065,,,
Metro,49062,49062,,,
Metro,49002,49002,,,
Metro,49059,49059,,,
Metro,49017,49017,,,
Metro,49005,49005,,,
Metro,49055,49055,,,
Metro,49060,49060,,,
Metro,49015,49015,,,
Metro,49008,49008,,,
Metro,49057,49057,,,
Metro,49085,49085,,,
Metro,49073,49073,,,
Metro,49075,49075,,,
