organization,imei,plate_number,vehicle_model,vehicle_make,Vehicle Model Name
National,66083,66083,2014,Toyota,Camry
National,66062,66062,2015,Toyota,Camry
National,66057,66057,2013,Toyota,Camry
National,66049,66049,2013,Toyota,Innova
National,66052,66052,2016,Toyota,Camry
National,49232,49232,2015,Toyota,Innova
National,66097,66097,2016,Toyota,Camry Hybrid
National,66086,66086,2013,Toyota,Camry
National,66307,66307,2013,Toyota,Camry
National,66337,66337,2013,Toyota,Camry
National,66152,66152,2014,Toyota,Camry
National,66105,66105,2013,Toyota,Camry
National,66294,66294,2013,Toyota,Camry
National,66302,66302,2013,Toyota,Camry
National,66291,66291,2015,Toyota,Camry
National,49233,49233,2015,Toyota,Innova
National,66306,66306,2015,Toyota,Innova
National,66308,66308,2014,Toyota,Camry
National,66317,66317,2013,Toyota,Camry
National,66331,66331,2013,Toyota,Camry
National,66326,66326,2013,Toyota,Camry
National,66332,66332,2013,Toyota,Camry
National,66330,66330,2015,Toyota,Camry
National,66144,66144,2013,Toyota,Camry
National,66142,66142,2012,Toyota,Camry
National,66123,66123,2015,Toyota,Innova
National,66128,66128,2013,Toyota,Camry
National,66099,66099,2013,Toyota,Camry
National,66125,66125,2012,Toyota,Camry
National,66148,66148,2013,Toyota,Camry
National,66122,66122,2013,Toyota,Camry
National,66153,66153,2013,Toyota,Camry
National,66087,66087,2013,Toyota,Camry
National,66094,66094,2015,Toyota,Camry
National,66193,66193,2013,Toyota,Camry
National,66166,66166,2013,Toyota,Camry
National,66383,66383,2013,Toyota,Camry
National,66205,66205,2013,Toyota,Camry
National,66184,66184,2014,Toyota,Camry
National,49234,49234,2015,Toyota,Innova
National,66168,66168,2013,Toyota,Innova
National,49235,49235,2015,Toyota,Innova
National,66198,66198,2013,Toyota,Innova
National,66196,66196,2014,Toyota,Camry
National,66350,66350,2015,Toyota,Innova
National,66227,66227,2013,Toyota,Innova
National,66112,66112,2015,Toyota,Camry
National,66109,66109,2013,Toyota,Camry
National,66375,66375,2013,Toyota,Camry
National,66366,66366,2014,Toyota,Camry
National,66360,66360,2012,Toyota,Camry
National,66364,66364,2013,Toyota,Camry
National,66411,66411,2013,Toyota,Camry
National,66231,66231,2013,Toyota,Innova
National,66376,66376,2013,Toyota,Camry
National,66381,66381,2013,Toyota,Camry
National,66207,66207,2015,Toyota,Camry
National,66180,66180,2013,Toyota,Camry
National,66200,66200,2013,Toyota,Camry
National,66213,66213,2013,Toyota,Camry
National,66107,66107,2013,Toyota,Camry
National,66419,66419,2013,Toyota,Camry
National,66285,66285,2016,Toyota,Camry
National,66355,66355,2013,Toyota,Camry
National,66130,66130,2013,Toyota,Camry
National,66226,66226,2013,Toyota,Innova
National,66178,66178,2013,Toyota,Innova
National,66162,66162,2013,Toyota,Camry
National,66423,66423,2013,Toyota,Camry
National,66353,66353,2013,Toyota,Camry
National,66085,66085,2013,Toyota,Camry
National,66410,66410,2016,Toyota,Camry
National,66241,66241,2014,Toyota,Camry
National,66404,66404,2014,Toyota,Camry
National,66264,66264,2013,Toyota,Camry
National,66398,66398,2013,Toyota,Camry
National,66420,66420,2013,Toyota,Camry
National,66359,66359,2013,Toyota,Camry
National,66431,66431,2013,Toyota,Camry
National,66280,66280,2013,Toyota,Innova
National,66427,66427,2013,Toyota,Camry
National,66373,66373,2013,Toyota,Camry
National,66265,66265,2014,Toyota,Camry
National,66390,66390,2016,Toyota,Camry Hybrid
National,66113,66113,2015,Toyota,Camry
National,76329,76329,2015,Toyota,Camry
National,66254,66254,2015,Toyota,Camry
National,66387,66387,2014,Toyota,Camry
National,66361,66361,2015,Toyota,Camry
National,66409,66409,2014,Toyota,Camry
National,66435,66435,2013,Toyota,Innova
National,66418,66418,2013,Toyota,Camry
National,66430,66430,2016,Toyota,Camry
National,66453,66453,2016,Toyota,Camry
National,66251,66251,2014,Toyota,Camry
National,66261,66261,2015,Toyota,Camry
